source_file,source_path,split_label,timestamp,Time,wtime,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads,weak_label,Avg,HW,Max,prmon,max_pss,cpu,threads,iforest_raw_prediction,iforest_decision_function,iforest_score_samples,anomaly_flag,anomaly_score,threshold
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974584,1771974584.0,32.0,1547.0,10448.0,0.0,1205200.0,6592.0,0.0,2896998487.0,2896998400.0,66487.0,435.0,142586.0,489.0,26.0,3.0,4.0,20.0,1,,,,,,,,-1,-0.05121334127206023,-0.6021655480894644,1,0.05121334127206023,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974586,1771974586.0,34.0,1551.0,10448.0,0.0,1205200.0,6592.0,0.0,3077517399.0,3077517312.0,79346.0,485.0,152824.0,536.0,27.0,4.0,4.0,20.0,1,,,,,,,,-1,-0.049581076466303164,-0.6005332832837074,1,0.049581076466303164,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974588,1771974588.0,36.0,1555.0,10448.0,0.0,1205200.0,6592.0,0.0,3257565271.0,3257565184.0,100612.0,565.0,166347.0,609.0,29.0,4.0,4.0,20.0,1,,,,,,,,-1,-0.04352131244470203,-0.5944735192621062,1,0.04352131244470203,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974590,1771974590.0,38.0,1551.0,10448.0,0.0,1205200.0,6592.0,0.0,3438162007.0,3438161920.0,109786.0,608.0,188018.0,660.0,31.0,4.0,4.0,20.0,1,,,,,,,,-1,-0.043359139066452834,-0.594311345883857,1,0.043359139066452834,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974592,1771974592.0,40.0,1553.0,10448.0,0.0,1205200.0,6592.0,0.0,3617775703.0,3617775616.0,113303.0,632.0,191897.0,685.0,32.0,4.0,4.0,20.0,1,,,,,,,,-1,-0.04143355434434015,-0.5923857611617444,1,0.04143355434434015,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974594,1771974594.0,42.0,1555.0,10448.0,0.0,1205200.0,6592.0,0.0,3798024279.0,3798024192.0,115213.0,647.0,194129.0,702.0,34.0,5.0,4.0,20.0,1,,,,,,,,-1,-0.040970897909686776,-0.591923104727091,1,0.040970897909686776,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974596,1771974596.0,44.0,1552.0,10448.0,0.0,1205200.0,6592.0,0.0,3978612823.0,3978612736.0,121136.0,677.0,214298.0,739.0,35.0,5.0,4.0,20.0,1,,,,,,,,-1,-0.04133755618119772,-0.5922897629986019,1,0.04133755618119772,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974598,1771974598.0,46.0,1552.0,10448.0,0.0,1205200.0,6592.0,0.0,4159066199.0,4159066112.0,124631.0,701.0,217955.0,764.0,37.0,5.0,4.0,20.0,1,,,,,,,,-1,-0.04205371691303761,-0.5930059237304418,1,0.04205371691303761,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974600,1771974600.0,48.0,1551.0,10448.0,0.0,1205200.0,6592.0,0.0,4338843735.0,4338843648.0,126165.0,713.0,220127.0,778.0,39.0,5.0,4.0,20.0,1,,,,,,,,-1,-0.04027205552147872,-0.5912242623388829,1,0.04027205552147872,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974602,1771974602.0,50.0,1553.0,10448.0,0.0,1205200.0,6592.0,0.0,4518457431.0,4518457344.0,133739.0,753.0,241815.0,824.0,40.0,6.0,4.0,20.0,1,,,,,,,,-1,-0.0375875569469053,-0.5885397637643095,1,0.0375875569469053,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974604,1771974604.0,52.0,1534.0,10448.0,0.0,1205200.0,6592.0,0.0,4698792023.0,4698791936.0,135583.0,767.0,243953.0,840.0,42.0,6.0,4.0,20.0,1,,,,,,,,-1,-0.03761171539996189,-0.5885639222173661,1,0.03761171539996189,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974606,1771974606.0,54.0,1552.0,10448.0,0.0,1205200.0,6592.0,0.0,4878811223.0,4878811136.0,140961.0,800.0,258275.0,876.0,43.0,6.0,4.0,20.0,1,,,,,,,,-1,-0.03528774700790638,-0.5862399538253106,1,0.03528774700790638,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974608,1771974608.0,56.0,1556.0,10448.0,0.0,1205200.0,6592.0,0.0,5059190871.0,5059190784.0,148072.0,839.0,263834.0,917.0,45.0,6.0,4.0,20.0,1,,,,,,,,-1,-0.03207721970916244,-0.5830294265265666,1,0.03207721970916244,0.5509522068174042
