Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771973240	109	6000744	24004672	0	24025488	6592	0	88	0	224918	1409	3001764	1643	1	4	4	4
1771973242	111	6000745	24004672	0	24025488	6592	0	88	0	225968	1413	3003148	1649	1	4	4	4
1771973244	113	6000745	24004672	0	24025488	6592	0	88	0	256071	1531	3024022	1752	1	4	4	4
1771973246	115	6000745	24004672	0	24025488	6592	0	88	0	261440	1555	3043663	1784	1	4	4	4
1771973248	117	6000745	24004672	0	24025488	6592	0	88	0	263284	1569	3045801	1800	1	4	4	4
1771973250	119	6000744	24004672	0	24025488	6592	0	88	0	264576	1577	3047579	1810	1	4	4	4
1771973252	121	6000745	24004672	0	24025488	6592	0	88	0	269617	1596	3066772	1837	1	4	4	4
1771973254	123	6000738	24004672	0	24025488	6592	0	88	0	278805	1626	3071436	1877	1	4	4	4
1771973256	125	6000744	24004672	0	24025488	6592	0	88	0	280097	1634	3073214	1887	1	4	4	4
1771973258	127	6000744	24004672	0	24025488	6592	0	88	0	285932	1663	3093161	1924	1	4	4	4
1771973260	129	6000745	24004672	0	24025488	6592	0	88	0	287224	1671	3094939	1934	1	4	4	4
1771973262	131	6000745	24004672	0	24025488	6592	0	88	0	288274	1675	3096323	1940	1	4	4	4
1771973264	133	6000744	24004672	0	24025488	6592	0	88	0	294109	1704	3116270	1977	1	4	4	4
1771973266	135	6000745	24004672	0	24025488	6592	0	88	0	295401	1712	3118048	1987	1	4	4	4
1771973268	137	6000745	24004672	0	24025488	6592	0	88	0	303659	1746	3123085	2027	1	4	4	4
1771973270	139	6000745	24004672	0	24025488	6592	0	88	0	308942	1769	3142672	2058	1	4	4	4
1771973272	141	6000745	24004672	0	24025488	6592	0	88	0	309992	1773	3144056	2064	1	4	4	4
1771973274	143	6000745	24004672	0	24025488	6592	0	88	0	312476	1794	3146870	2087	1	4	4	4
1771973276	145	6000745	24004672	0	24025488	6592	0	88	0	319805	1833	3168435	2132	1	4	4	4
1771973278	147	6000745	24004672	0	24025488	6592	0	88	0	321649	1847	3170573	2148	1	4	4	4
1771973280	149	6000744	24004672	0	24025488	6592	0	88	0	323496	1862	3172962	2165	1	4	4	4
1771973282	151	6000745	24004672	0	24025488	6592	0	88	0	327946	1878	3176048	2184	1	4	4	4
1771973284	153	6000744	24004672	0	24025488	6592	0	88	0	331524	1909	3195400	2220	1	4	4	4
1771973286	155	6000745	24004672	0	24025488	6592	0	88	0	333899	1927	3207350	2240	1	4	4	4
1771973288	157	6000745	24004672	0	24025488	6592	0	88	0	336265	1947	3209984	2261	1	4	4	4
1771973290	159	6000745	24004672	0	24025488	6592	0	88	0	342331	1978	3230468	2300	1	4	4	4
1771973292	161	6000744	24004672	0	24025488	6592	0	88	0	343381	1982	3231852	2306	1	4	4	4
1771973294	163	6000744	24004672	0	24025488	6592	0	88	0	345775	2002	3234646	2329	1	4	4	4
1771973296	165	6000744	24004672	0	24025488	6592	0	88	0	351353	2028	3254416	2363	1	4	4	4
